passage_date,passage_time,passage_direction,species,body_depth,length_coefficient,total_length,life_stage,count,sex,ad_clip,fish_condition,id_certainty,silhouette_quality,video_quality,video_problems,vaki_trap,comments
2013-01-19T00:00:00Z,07:53:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,poor,or/tb,vaki,NA
2013-01-19T00:00:00Z,07:53:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,mp/tb,vaki,NA
2013-01-21T00:00:00Z,12:05:00,up,rbt,40,4.8,192,j,1,unk,no,good,p,poor,fair,tb,vaki,NA
2013-01-22T00:00:00Z,07:00:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-01-22T00:00:00Z,08:52:00,up,rbt,45,4.8,216,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-01-23T00:00:00Z,08:02:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2013-01-24T00:00:00Z,11:29:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-01-24T00:00:00Z,22:00:00,up,rbt,77,4.8,370,j,1,unk,no,good,p,poor,fair,or,vaki,NA
2013-01-28T00:00:00Z,09:38:00,up,rbt,47,4.8,226,j,1,unk,NA,good,p,poor,fair,no,vaki,NA
2013-01-29T00:00:00Z,07:34:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,poor,fair,no,vaki,NA
2013-01-30T00:00:00Z,07:17:00,up,rbt,42,4.8,202,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2013-01-30T00:00:00Z,07:54:00,up,rbt,47,4.8,226,j,1,unk,no,good,p,fair,fair,no,vaki,NA
2013-02-03T00:00:00Z,00:27:00,up,rbt,112,4.8,538,a,1,f,no,good,p,fair,fair,no,vaki,NA
2013-02-03T00:00:00Z,08:57:00,up,rbt,117,4.8,562,a,1,f,yes,good,p,fair,fair,no,vaki,NA
